"","YEAR","NETVOL_ACRE","SAWVOL_ACRE","BIO_AG_ACRE","BIO_BG_ACRE","BIO_ACRE","CARB_AG_ACRE","CARB_BG_ACRE","CARB_ACRE","NETVOL_ACRE_SE","SAWVOL_ACRE_SE","BIO_AG_ACRE_SE","BIO_BG_ACRE_SE","BIO_ACRE_SE","CARB_AG_ACRE_SE","CARB_BG_ACRE_SE","CARB_ACRE_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2003,210.83992466229,0,3.63471331183567,0.802092988321754,4.43680630015742,1.81735666043137,0.4010464971699,2.21840315760127,2.57391804798169e-06,NA,0,NA,0,1.64961437712408e-06,88.4934454629337,53.2112223201912,1,1,102326580.547,429941.553185,47,143,"211","211A","211Aa","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Aroostook Hills and Lowlands","Aroostook Hills",0,25285.4445082,10232.6563501,1
"2",2003,33.6579733797921,0,1.04740781286064,0.412440663552965,1.45984847641361,0.523703908990063,0.206220334310408,0.729924243300472,29.592809945908,NA,41.7214665531775,49.0645742933589,43.5557652998365,41.7214665056392,98.345961312572,47.1795083128737,19,26,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2
"3",2003,53.6578882408113,0,1.16023713056678,0.380141646257561,1.54037877682434,0.580118568362061,0.19007082656405,0.770189394926111,21.2245312231755,NA,20.0363493761469,17.6585429828994,19.4121594380464,20.0363492821084,38.7311366466925,20.6536861100237,191,228,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3
"4",2003,9.40602743060607,0,0.194380276194823,0.0737325490804048,0.268112825275228,0.0971901404223285,0.0368662768287365,0.134056417251065,76.7764929821854,NA,86.0979553295912,82.6581659908748,85.1474449795488,86.0979539571865,173.544929018272,89.1724979046409,4,5,65228745.2921,481619.825375,106,226,"211","211B","211Bb","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Maine-New Brunswick Lowlands",0,16118.3787885,6522.87647189,4
"5",2003,54.7851383642684,0,0.987849814148303,0.288741559601808,1.27659137375011,0.493924909731267,0.144370782831381,0.638295692562648,27.9612359709615,NA,21.9227553793238,19.2622950505331,21.1794676808615,21.9227552668852,39.1325023694898,22.6060684119221,57,72,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5
"6",2003,44.1797152081207,0,1.11537887321377,0.433247772971716,1.54862664618549,0.557689439566584,0.216623889917708,0.774313329484292,22.3073531766421,NA,18.0115107526409,22.2132286032668,18.8765726390041,18.0115106915812,48.6219021515643,23.3390225620774,53,60,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6
"7",2003,81.7253172115356,0,1.7621275034965,0.588281905774513,2.35040940927101,0.88106375617952,0.294140957232203,1.17520471341172,25.7749059727274,NA,17.5900232735362,16.137792342553,16.9441544310302,17.5900232143305,33.7162204979212,18.3425206403864,92,102,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8
"8",2003,64.1968332810698,0,1.52413833936321,0.540195828747447,2.06433416811065,0.762069171944262,0.270097916856789,1.03216708880105,33.1372021421913,NA,38.141680663469,43.7436341170181,39.5235023630595,38.141680588941,91.2414098822914,42.5461826218515,34,39,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9
"9",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864898410.969,533518.615687,227,423,"M211","M211B","M211Ba","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","New England Piedmont","Northern Piedmont",0,213720.99805,86489.8193562,10
"10",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517488463.567,400094.240746,252,434,"M211","M211C","M211Ca","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","Green-Taconic-Berkshire Mountains","Northern Green Mountain",0,127874.18151,51748.8452702,11
"11",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17916319.7071,467338.758145,268,463,"211","211E","211Ec","Humid Temperate","Warm Continental","Northeastern Mixed Forest","St. Lawrence and Champlain Valley","Champlain Glacial Lake and Marine Plains",0,4427.21375746,1791.62984277,12
"12",2003,20.4407580395277,0,0.41434921922694,0.159117349178917,0.573466568405857,0.207174612375598,0.0795586769113996,0.286733289286998,18.1247070489654,NA,13.3607104400257,16.2644174142246,13.8356425785035,13.3607103466802,58.4427175324932,37.322522249109,8,9,29490466371.9,973599.239888,310,523,"M211","M211A","M211Ad","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","White Mountains",1,677007.951605,273975.397697,13
